"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX Largest Contentful Paint Time (ms)","CrUX Interaction to Next Paint (ms)","CrUX Cumulative Layout Shift","CrUX First Contentful Paint Time (ms)","Minify CSS Savings (ms)","Minify CSS Savings (Bytes)","Minify JavaScript Savings (ms)","Minify JavaScript Savings (Bytes)","Reduce Unused CSS Savings (ms)","Reduce Unused CSS Savings (Bytes)","Reduce Unused JavaScript Savings (ms)","Reduce Unused JavaScript Savings (Bytes)","JavaScript Execution Time (ms)","JavaScript Execution Time Category","Minimize Main-Thread Work (ms)","Minimize Main-Thread Work Category","Network Payload Size (Bytes)","User Timing Marks and Measures","Number of Redirects","Server Responds Quickly","Applies Text Compression","LCP Request Discovery","LCP Breakdown","Render Blocking Requests Savings (ms)","Preconnect Candidates Savings (ms)","Maximum Critical Path Latency (ms)","Use Efficient Cache Lifetimes Savings (Bytes)","Layout Shift Culprits","DOM Size","Improve Image Delivery Savings (Bytes)","Forced Reflow Savings (ms)","Legacy JavaScript Savings (Bytes)","Duplicated JavaScript (Bytes)","Font Display Savings (ms)","3rd Parties","Target Size","Content Width","Font Display Size","Viewport","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.tectaamerica.com/","text/html; charset=UTF-8","200","OK","Indexable","","America's Top Commercial Roofing Contractors | Tecta America","60","570","Tecta America serves the United States in providing exceptional commercial roofing, architectural metals and waterproofing solutions.","133","826","","0","","0","","0","Roofing Redefined","17","PREFERRED ROOFING & ACQUISITION COMPANY","39","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.tectaamerica.com/","","","","","","382229","74295","74295","28.461","","558","127","4.394","62.285","Normal","1.376","0","0","","379","379","0","100.000","149","71","0","8","7","0","","","","","90b787066255b574c1ad289fc047f456","1.580","Sat, 11 Apr 2026 16:32:38 GMT","","","","en-US","1.1","71","2597.005","4720.620","6001.013","10732.523","68.500","0.000","141494","750","137","17538703","74682","1","16401322","49","129122","32","397421","38","518781","7","0","1","17375","9","242020","19","Fail","3590.000","84","0.000","2425.000","0","0","0","0","600","52987","150","88507","763.049","Good","2104.281","Poor","17538704","0","Avoids redirects","Server responds quickly (observed 41 ms)","Applies text compression","","2 resources found","13184","","2690","12454","1 resource found","1697","577999","87","0","","215","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/","2026-04-11 11:05:18"
"https://www.tectaamerica.com/service/waterproofing/","text/html; charset=UTF-8","200","OK","Indexable","","Waterproofing - Tecta America","29","275","Stop water intrusion and extend service life. Envelope sealants, elastomeric wall coatings, traffic membranes, and crack repairs.","129","785","","0","","0","","0","Waterproofing","13","Stop water intrusion and protect your assets.","45","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.tectaamerica.com/service/waterproofing/","","","","","","165900","30394","30394","11.643","","714","114","6.263","50.828","Fairly Hard","3.890","1","2","","1579","379","0","100.000","91","26","0","6","6","0","","","","","2229fb67bf115f7e1ea17b63b8c9088a","1.020","Sat, 11 Apr 2026 16:34:09 GMT","","","","en-US","1.1","67","2451.015","4572.862","3751.024","5516.022","7.500","0.331","192301","450","97","1398489","30804","1","240037","6","130920","32","460550","42","518781","7","0","0","17397","9","241762","19","","","","","","0","0","0","0","450","52893","0","139408","264.361","Good","806.286","Good","1398490","0","Avoids redirects","Server responds quickly (observed 4 ms)","Applies text compression","","4 resources found","13961","","1605","12492","1 resource found","1220","112390","34","0","","90","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/service/waterproofing/","2026-04-11 11:05:21"
"https://www.tectaamerica.com/project/tiffin-high-school/","text/html; charset=UTF-8","200","OK","Indexable","","Kehoe Iron Works - Metalcrafts Tecta America","44","412","In 2020, Metalcrafts, A Tecta America Company of Savannah, GA completed a metal replication and repair at Kehoe Iron Works.","123","785","","0","Kehoe Iron Works","16","","0","Metalcrafts","11","WE ARE TECTA AMERICA","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.tectaamerica.com/project/tiffin-high-school/","","","","","","114597","22041","22041","8.443","","26","15","1.733","0.083","Very Hard","1.895","1","2","","7","5","0","1.320","95","31","0","8","8","0","","","","","feaf66197d6e3e42d58e770aece9f7f0","2.329","","","","","en-US","1.1","84","2298.053","4544.875","3751.093","5384.282","13.500","0.000","208072","450","102","2086580","22435","1","898433","6","149595","35","462734","42","535987","9","0","0","17396","9","242313","19","","","","","","0","0","0","0","450","68744","0","139328","297.528","Good","1215.960","Good","2086581","0","Avoids redirects","Server responds quickly (observed 3 ms)","Applies text compression","","4 resources found","15101","","2588","12642","1 resource found","928","634652","0","0","","260","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/project/tiffin-high-school/","2026-04-11 11:05:21"
"https://www.tectaamerica.com/project/st-procopious-abbey/","text/html; charset=UTF-8","200","OK","Indexable","","St. Procopious Abbey - Tecta America","36","336","Anthony Roofing completed a comprehensive 55,000-square-foot metal roof replacement for St. Procopious Abbey in 2024.","117","761","","0","St. Procopious Abbey","20","","0","Anthony Roofing","15","WE ARE TECTA AMERICA","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.tectaamerica.com/project/st-procopious-abbey/","","","","","","112699","22289","22289","8.538","","114","25","4.560","24.843","Very Hard","2.486","1","2","","7","5","0","1.320","93","29","0","7","7","0","","","","","53a31ed67d78205ee39775e17e78041a","1.245","Sat, 11 Apr 2026 16:54:02 GMT","","","","en-US","1.1","81","2302.039","4215.177","4201.079","7418.592","56.000","0.000","208042","450","101","2047257","22699","1","859502","5","149383","35","462286","42","535987","9","0","0","17400","9","241608","19","","","","","","0","0","0","0","450","68745","0","139297","436.349","Good","1514.227","Good","2047258","0","Avoids redirects","Server responds quickly (observed 3 ms)","Applies text compression","","4 resources found","13906","","2255","12419","2 resources found","919","642871","0","0","","105","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/project/st-procopious-abbey/","2026-04-11 11:05:23"
"https://www.tectaamerica.com/project/evansville-police-post/","text/html; charset=UTF-8","200","OK","Indexable","","Evansville Police Post - Tecta America","38","342","Blackmore & Buckner Roofing completed a re-roofing project for the Evansville State Police Post in Evansville, Indiana.","119","724","","0","Evansville Police Post","22","","0","Blackmore & Buckner","19","WE ARE TECTA AMERICA","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.tectaamerica.com/project/evansville-police-post/","","","","","","110757","21831","21831","8.363","","150","26","5.769","57.723","Fairly Hard","2.666","1","2","","10","6","0","1.580","92","28","0","7","7","0","","","","","972c78642715a646c27df454582966","2.700","","","","","en-US","1.1","84","2453.026","3730.037","3751.043","6891.318","13.000","0.000","206957","600","94","1946655","22225","1","789193","5","145082","33","436769","37","535987","9","0","0","17399","9","243162","19","","","","","","0","0","0","0","600","68748","0","138209","251.477","Good","864.863","Good","1946656","0","Avoids redirects","Server responds quickly (observed 2 ms)","Applies text compression","","4 resources found","12934","","1627","12492","1 resource found","910","583672","42","0","","85","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/project/evansville-police-post/","2026-04-11 11:05:22"
"https://www.tectaamerica.com/project/st-stanislaus-catholic-church-historic-bell-tower-restoration/","text/html; charset=UTF-8","200","OK","Indexable","","St. Stanislaus Catholic Church Historic Bell Tower Restoration - Tecta America","78","696","F.J.A. Christiansen Roofing restored the iconic domes and twin towers of St. Stanislaus Church in Milwaukee, WI.","112","696","","0","St. Stanislaus Catholic Church Historic Bell Tower Restoration","62","","0","WE ARE TECTA AMERICA","20","Stay in the loop with our newsletter","36","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.tectaamerica.com/project/st-stanislaus-catholic-church-historic-bell-tower-restoration/","","","","","","131052","25757","25757","9.867","","1015","150","6.767","70.275","Fairly Easy","6.365","1","2","","7","5","0","1.320","105","41","0","7","7","0","","","","","ec08a5fc00a64a2faaa1bb29824f0efd","2.594","","","","","en-US","1.1","73","3001.055","4980.355","4951.095","5418.062","15.500","0.000","208074","450","102","2122987","26151","1","924334","5","148678","35","462226","42","544220","10","0","0","17378","9","240821","19","","","","","","0","0","0","0","300","68744","150","139330","363.466","Good","1292.822","Good","2122988","0","Avoids redirects","Server responds quickly (observed 37 ms)","Applies text compression","","4 resources found","12632","","2479","12420","1 resource found","997","666601","95","0","","95","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/project/st-stanislaus-catholic-church-historic-bell-tower-restoration/","2026-04-11 11:05:22"
"https://www.tectaamerica.com/category/tecta-news/","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","Tecta News Archives - Tecta America","35","335","","0","0","","0","","0","","0","Tecta News","10","News by Category","16","noindex, follow","","","","","","","","","152394","24291","24291","9.305","","207","37","5.595","27.052","Very Hard","2.482","1","2","","281","85","0","22.430","131","43","0","7","7","0","","","","","9724263e228afc536659d9adf9230230","3.256","","","","","en-US","1.1","64","2292.036","8421.187","17202.311","17901.523","83.000","0.000","154057","750","99","6008000","24685","1","4930348","16","117233","27","399555","39","518781","7","0","0","17398","9","241403","19","","","","","","0","0","0","0","300","52987","450","101070","575.581","Good","1840.670","Good","6008001","0","Avoids redirects","Server responds quickly (observed 4 ms)","Applies text compression","","4 resources found","12541","","4815","12607","1 resource found","1104","692027","215","0","","130","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/category/tecta-news/","2026-04-11 11:05:21"
"https://www.tectaamerica.com/project/happy-bank-stadium/","text/html; charset=UTF-8","200","OK","Indexable","","Happy Bank Stadium - Tecta America","34","332","In 2020, Tecta America CS Amarillo installed a single-ply TPO roof system at Happy Bank Stadium in Canyon, Texas.","113","712","","0","Happy Bank Stadium","18","","0","Tecta America CS Amarillo","25","WE ARE TECTA AMERICA","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.tectaamerica.com/project/happy-bank-stadium/","","","","","","117283","22088","22088","8.461","","19","10","1.900","53.517","Fairly Hard","1.754","1","2","","7","5","0","1.320","99","35","0","7","7","0","","","","","506d9e9de7d7c0eacdf5c688906ae59f","0.835","Sat, 11 Apr 2026 16:50:56 GMT","","","","en-US","1.1","66","2292.037","7009.341","8101.146","8101.146","19.000","0.010","208066","450","102","2853504","22498","1","1666165","6","149236","35","462222","42","535987","9","0","0","17396","9","241393","19","","","","","","0","0","0","0","450","68746","0","139320","271.309","Good","1113.104","Good","2853505","0","Avoids redirects","Server responds quickly (observed 3 ms)","Applies text compression","","4 resources found","12784","","3543","12419","3 resources found","935","1428079","33","0","","120","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/project/happy-bank-stadium/","2026-04-11 11:05:24"
"https://www.tectaamerica.com/tecta-america-announces-promotion-of-tracy-honea-to-the-national-operations-team/","text/html; charset=UTF-8","200","OK","Indexable","","Tracy Honea Promoted to Operations Director, Tecta America","58","548","Tecta America announces Tracy Honea's promotion to the Operations team, following his tenure as president of Tecta America Amarillo CS.","135","858","","0","Tecta America Announces Promotion of Tracy Honea to the National Operations Team","80","","0","Related Posts","13","WE ARE TECTA AMERICA","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.tectaamerica.com/tecta-america-announces-promotion-of-tracy-honea-to-the-national-operations-team/","","","","","","124340","24205","24205","9.272","","275","41","6.707","46.824","Hard","2.998","1","1","","13","6","0","1.580","102","32","0","7","7","0","","","","","3ef3fa57f1d52cd6b0fb0113622e7d83","0.861","Sat, 11 Apr 2026 16:33:25 GMT","","","","en-US","1.1","71","2303.024","5567.188","6001.069","6001.069","33.000","0.001","169822","450","97","3259187","24615","1","2133938","8","140148","29","398755","40","544336","10","0","0","17395","9","241384","19","","","","","","0","0","0","0","450","68745","0","101077","309.358","Good","1089.917","Good","3259188","0","Avoids redirects","Server responds quickly (observed 4 ms)","Applies text compression","","4 resources found","14280","","2767","12641","2 resources found","961","1765066","0","0","","225","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/tecta-america-announces-promotion-of-tracy-honea-to-the-national-operations-team/","2026-04-11 11:05:25"
"https://www.tectaamerica.com/project/muncie-transit-station/","text/html; charset=UTF-8","200","OK","Indexable","","Muncie Transit Station - Tecta America","38","349","Blackmore & Buckner Roofing completed a 13,000-square-foot re-roof for the Muncie Transit Station facility in Muncie, Indiana.","126","781","","0","Muncie Transit Station","22","","0","Blackmore & Buckner","19","WE ARE TECTA AMERICA","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.tectaamerica.com/project/muncie-transit-station/","","","","","","113023","22465","22465","8.606","","179","32","5.594","66.459","Normal","2.737","1","2","","10","6","0","1.580","93","29","0","7","7","0","","","","","afedd534539a2906df1b3baaa38f2ad8","2.243","","","","","en-US","1.1","89","2296.028","4116.847","3151.042","5373.944","7.500","0.000","208070","450","101","1970643","22860","1","782771","5","149601","35","462026","42","535987","9","0","0","17398","9","241613","19","","","","","","0","0","0","0","450","68749","0","139321","219.145","Good","834.094","Good","1970644","0","Avoids redirects","Server responds quickly (observed 3 ms)","Applies text compression","","4 resources found","12635","","1875","12607","1 resource found","920","585094","0","0","","105","5 resources found","100","","","100","","","","","","https://www.tectaamerica.com/project/muncie-transit-station/","2026-04-11 11:05:24"
