Rank,Company,Website,City,State,Peak Number of Employees,Total 2024 Revenue in Dollars,% of Commercial Work,% of Residential Work,Involved with Private Equity?,Platform Name
1,Tecta America,https://www.tectaamerica.com/,Rosemont,Ill.,4900," $ 1,500,000,000 ",99.00%,1.00%,Yes,Altas Partners and Leonard Green & Partners
2,CentiMark Corporation,https://www.centimark.com/,Canonsburg,Pa.,3500," $ 1,402,613,940 ",100.00%,0.00%,No,
3,Flynn Group of Companies,https://flynncompanies.com/,Mississauga,Ontario,6000," $ 614,000,000 ",100.00%,0.00%,No,
4,Erie Home,https://eriehome.com/,Toledo,Ohio,," $ 609,124,170 ",0.00%,100.00%,Yes,Gridiron
5,Roofing Corp of America,https://www.roofingcorp.com/,Atlanta,Ga.,1850," $ 569,000,000 ",90.00%,10.00%,Yes,Roofing Corp of America
6,Infinity Home Services,https://www.infinityhomeservices.com/,Brookfield,Wis.,1021," $ 500,019,000 ",10.00%,90.00%,Yes,Infinity Home Services
7,"Stronghouse Solutions, LLC",,Addison,Texas,665," $ 352,000,000 ",5.00%,95.00%,Yes,"Stronghouse Solutions, LLC"
8,Omnia Exterior Solutions,https://www.omniaexteriorsolutions.com/,Trophy Club,Texas,800," $ 312,200,000 ",20.00%,80.00%,Yes,Omnia Exterior Solutions
9,Baker Roofing Company,https://bakerroofing.com/,Cary,N.C.,1040," $ 304,113,973 ",89.00%,11.00%,No,
10,Best Choice Roofing,https://bestchoiceroofing.com/,Hendersonville,Tenn.,1600," $ 297,132,417 ",1.00%,99.00%,Yes,Brightstar Capital Partners
11,Greenwood Industries,https://greenwoodindustries.com/,Worcester,Mass.,775," $ 252,000,000 ",100.00%,0.00%,No,
12,Corey Construction,https://www.coreyconstruction.net/,Houston,Texas,211," $ 230,370,233 ",15.00%,85.00%,No,
13,"Best Contracting Services, Inc.",https://bestcontracting.com/,Gardena,Calif.,850," $ 227,000,000 ",100.00%,0.00%,No,
14,RAFTRx Roofing + Exteriors,https://raftrxroofing.com/,Duluth,Ga.,85," $ 221,583,220 ",5.00%,95.00%,Yes,Saw Mill Capital
15,"Advanced Roofing, Inc.",https://www.advancedroofing.com/,Fort Lauderdale,Fla.,750," $ 211,385,953 ",99.00%,1.00%,No,
16,Bone Dry Roofing,https://www.bonedry.com/,Indianapolis,Ind.,540," $ 180,000,000 ",25.00%,75.00%,No,
17,O'Hara's Son Roofing,https://www.oharasson.com/,Chicago,Ill.,140," $ 165,142,225 ",100.00%,0.00%,Yes,Angeles Equity Partners
18,Priority Roofing,https://priorityroofs.com/,Dallas,Texas,725," $ 164,537,256 ",10.00%,90.00%,No,
19,"Kalkreuth Roofing and Sheet Metal, Inc.",https://krsm.net/,Wheeling,W.Va.,150," $ 153,983,000 ",99.00%,1.00%,No,
20,Mighty Dog Roofing,https://www.mightydogroofing.com/,Omaha,Neb.,200," $ 140,949,254 ",10.00%,90.00%,No,
21,Advocate Construction,https://advocateconstruction.com/,Glendale Heights,Ill.,255," $ 125,000,000 ",5.00%,95.00%,No,
22,KPost Company,https://kpostcompany.com/,Dallas,Texas,509," $ 124,323,121 ",82.00%,18.00%,No,
23,Precision Construction and Roofing,https://precisionconstructionandroofing.com/,North Richland Hills,Texas,42," $ 112,990,202 ",30.00%,70.00%,No,
24,"Aspen Contracting, Inc.",https://www.roofsbyaspen.com/,Lee's Summit,Mo.,300," $ 106,550,000 ",10.00%,90.00%,No,
25,"Jolly Roofing & Contracting Co., LLC",https://www.jollyroofing.com/,Collierville,Tenn.,260," $ 103,000,000 ",100.00%,0.00%,No,
26,JR & Co. Roofing,https://jrcousa.com/,Kansas City,Mo.,271," $ 102,450,927 ",89.00%,11.00%,No,
27,Farrell Roofing,https://awfarrell.com/,Dunkirk,N.Y.,385," $ 102,000,000 ",100.00%,0.00%,No,
28,"Dwayne Nash Industries, Inc dba Kodiak Roofing & Waterproofing Co. and Affiliates",,Roseville,Calif.,375," $ 100,851,309 ",98.00%,2.00%,No,
29,Kidd Roofing,https://www.kiddroof.com/,Austin,Texas,150," $ 100,273,100 ",25.00%,75.00%,No,
30,Apex Roofing & Restoration,https://apexroofs.com/,Hoover,Ala.,200," $ 100,000,000 ",5.00%,95.00%,No,
