"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX Largest Contentful Paint Time (ms)","CrUX Interaction to Next Paint (ms)","CrUX Cumulative Layout Shift","CrUX First Contentful Paint Time (ms)","Minify CSS Savings (ms)","Minify CSS Savings (Bytes)","Minify JavaScript Savings (ms)","Minify JavaScript Savings (Bytes)","Reduce Unused CSS Savings (ms)","Reduce Unused CSS Savings (Bytes)","Reduce Unused JavaScript Savings (ms)","Reduce Unused JavaScript Savings (Bytes)","JavaScript Execution Time (ms)","JavaScript Execution Time Category","Minimize Main-Thread Work (ms)","Minimize Main-Thread Work Category","Network Payload Size (Bytes)","User Timing Marks and Measures","Number of Redirects","Server Responds Quickly","Applies Text Compression","LCP Request Discovery","LCP Breakdown","Render Blocking Requests Savings (ms)","Preconnect Candidates Savings (ms)","Maximum Critical Path Latency (ms)","Use Efficient Cache Lifetimes Savings (Bytes)","Layout Shift Culprits","DOM Size","Improve Image Delivery Savings (Bytes)","Forced Reflow Savings (ms)","Legacy JavaScript Savings (Bytes)","Duplicated JavaScript (Bytes)","Font Display Savings (ms)","3rd Parties","Target Size","Content Width","Font Display Size","Viewport","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.americanhomecontractors.com/","text/html; charset=UTF-8","200","OK","Indexable","","American Home Contractors of Maryland & Virginia","48","455","American Home Contractors - roof installation, roof repair, solar roof, window, siding, gutter, solar panels & doors in Maryland & Virginia","139","834","","0","Roofing, Siding, Windows, Gutters, Doors, Solar, and Repairs","60","The Best Home Contractor in Maryland and Virginia","49","Services","8","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/","","","","","","230083","42211","42211","16.170","","1591","290","5.486","48.763","Hard","5.215","0","0","","326","120","0","100.000","83","27","0","21","7","0","","","","","cb05f57b782db140ac586730fe1f5314","0.509","","","","","en-US","1.1","98","1227.000","2319.963","2186.985","2209.692","0.000","0.000","0","0","40","135914","42932","1","31301","35","11369","1","50312","3","0","0","0","0","0","0","4452","33","Pass","1139.000","65","0.020","1033.000","0","0","0","0","0","0","0","0","119.324","Good","317.878","Good","135914","0","Avoids redirects","Server responds quickly (observed 11 ms)","Applies text compression","1 issue found","4 resources found","762","","158","0","","843","0","46","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/","2026-04-11 12:36:06"
"https://www.americanhomecontractors.com/instant-roof-estimate/","text/html; charset=UTF-8","200","OK","Indexable","","Instant Roof Estimate - American Home Contractors","49","464","Get an Instant Roof Replacement Estimate in less than a minute. See a price for a new roof for your home. Choose from multiple roof types.","138","856","","0","Instant Online Estimate","23","What Sets Us Apart","18","What Happens After You Schedule a Free Estimate","47","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/instant-roof-estimate/","","","","","","127877","24912","24912","9.543","","283","70","4.043","58.941","Fairly Hard","2.459","1","1","","4","3","0","2.500","59","22","0","21","7","0","","","","","2983cae7307a5305f990ff34e476f1b7","0.506","","","","","en-US","1.1","84","1234.010","3492.279","1916.625","11957.155","546.000","0.011","567674","0","85","1738696","29562","2","44888","20","15401","2","1554367","48","43619","2","0","0","50859","11","1576463","68","","","","","","0","0","0","0","0","0","0","567674","1295.473","Poor","1823.482","Good","1738696","13","Avoids redirects","Server responds quickly (observed 7 ms)","Applies text compression","","2 resources found","792","","149","140827","1 resource found","561","0","0","0","","0","9 resources found","100","","","100","","","","","","https://www.americanhomecontractors.com/instant-roof-estimate/","2026-04-11 12:36:08"
"https://www.americanhomecontractors.com/gutter-tune-up/","text/html; charset=UTF-8","200","OK","Indexable","","Affordable Gutter Repair (Gutter Tune Up)","41","373","Get a quick gutter repair service with American Home Contractors gutter Tune Up. For only $149.00 we inspect and make minor gutter repairs.","139","875","","0","Gutter Tune Up","14","Pay with:","9","Our Premium Gutter Tune Up Includes:","36","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/gutter-tune-up/","","","","","","151980","30694","30694","11.758","","358","63","5.683","91.182","Very Easy","2.166","1","1","","244","120","0","100.000","59","21","0","22","8","0","","","","","720f4827fae21b04abd7fc8cdaa67889","0.722","","","","","en-US","1.1","75","2327.004","4458.313","5200.202","5207.751","5.000","0.000","64838","600","23","576882","129949","2","21494","9","39955","1","105147","7","0","0","0","0","280337","4","399872","14","","","","","","0","0","0","0","450","35461","150","29377","171.862","Good","422.624","Good","576883","0","Avoids redirects","Server responds quickly (observed 8 ms)","Applies text compression","1 issue found","4 resources found","1939","313","716","262","","597","0","88","0","","0","2 resources found","100","","","100","","","","","","https://www.americanhomecontractors.com/gutter-tune-up/","2026-04-11 12:36:08"
"https://www.americanhomecontractors.com/gaf-timberline-solar-roof/","text/html; charset=UTF-8","200","OK","Indexable","","GAF Timberline Solar Roof Installer","35","313","Highly rated GAF Timberline solar roof installer with more reviews and experience than any other Timberline solar roofer.","121","738","","0","GAF Timberline Solar Roof Experts","33","Certified Installer","19","Trusted GAF Timberline Solar Roof Installer","43","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/gaf-timberline-solar-roof/","","","","","","203514","33216","33216","12.724","","685","115","5.957","52.214","Fairly Hard","2.811","1","1","","2","2","0","1.670","68","25","0","22","8","0","","","","","4197dead6119cb599a23e9a97c04b3b0","0.838","","","","","en-US","1.1","97","1722.260","3059.067","2208.000","2230.500","0.000","0.000","0","0","26","214680","35558","1","107209","18","11348","1","60565","5","0","0","0","0","0","1","4452","12","","","","","","0","0","0","0","0","0","0","0","52.914","Good","225.184","Good","214680","0","Avoids redirects","Server responds quickly (observed 8 ms)","Applies text compression","1 issue found","4 resources found","988","300","377","6569","","688","19153","0","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/gaf-timberline-solar-roof/","2026-04-11 12:36:08"
"https://www.americanhomecontractors.com/tesla/","text/html; charset=UTF-8","200","OK","Indexable","","Tesla Solar Roof Certified Installer","36","305","The highest rated Tesla solar roof installer with more kW installed than any other Tesla solar roofer.","102","610","","0","Tesla Solar Roof Experts","24","Certified Installer","19","More Tesla Solar Roof Installations Than Any Other Roofer","57","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/tesla/","","","","","","191275","32941","32941","12.619","","771","132","5.841","52.555","Fairly Hard","3.287","1","1","","242","120","0","100.000","67","25","0","22","8","0","","","","","c407be655f3b15be54c4ee7a13be27ad","0.623","","","","","en-US","1.1","96","1736.565","4182.927","2160.500","2216.000","16.000","0.000","0","0","24","219415","35194","1","110770","16","12828","1","60623","5","0","0","0","0","0","1","4485","10","","","","","","0","0","0","0","0","0","0","0","187.153","Good","474.899","Good","219415","0","Avoids redirects","Server responds quickly (observed 5 ms)","Applies text compression","1 issue found","4 resources found","982","","605","5489","","640","8041","113","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/tesla/","2026-04-11 12:36:08"
"https://www.americanhomecontractors.com/privacy-policy/","text/html; charset=UTF-8","200","OK","Indexable","","American Home Contractors Privacy Policy - American Home Contractors","68","654","This Privacy Policy describes Our policies and procedures on the collection, use, and disclosure of Your information.","117","708","","0","American Home Contractors Privacy Policy","40","Interpretation and Definitions","30","Definitions","11","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/privacy-policy/","","","","","","125493","26898","26898","10.304","","2270","297","7.643","55.667","Fairly Hard","12.069","1","1","","241","120","0","100.000","60","21","0","21","7","0","","","","","a838084e26e42ea6c783611dd129a8a4","0.506","","","","","en-US","1.1","97","1692.694","3943.077","1893.041","1900.586","0.000","0.000","0","0","11","110932","29034","1","12641","4","11356","1","57901","4","0","0","0","0","0","1","4485","3","","","","","","0","0","0","0","0","0","0","0","87.841","Good","234.992","Good","110932","0","Avoids redirects","Server responds quickly (observed 7 ms)","Applies text compression","","2 resources found","1000","","599","0","","563","0","0","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/privacy-policy/","2026-04-11 12:36:09"
"https://www.americanhomecontractors.com/gutter-repair-state-question/","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","Gutter Repair State Question - American Home Contractors","56","528","","0","0","","0","","0","American Home Contractors","25","","0","noindex, nofollow","","","","","","","","","116701","24530","24530","9.397","","620","100","6.200","62.044","Normal","4.472","1","1","","2","2","0","1.670","59","22","0","31","12","0","","","","","579e994b9d398532b0d84cd1d797e943","0.659","","","","","en-US","1.1","57","4437.186","6568.868","8189.260","8357.760","122.500","0.095","538400","2850","42","1213027","31510","2","131895","16","34336","2","913452","12","34724","4","0","0","67110","6","1075684","31","","","","","","0","0","0","0","150","27013","2700","511387","741.265","Good","1225.901","Good","1213028","0","Avoids redirects","Server responds quickly (observed 7 ms)","Applies text compression","","2 resources found","1631","988","603","450930","5 resources found","528","110052","33","0","","35","5 resources found","100","","","100","","","","","","https://www.americanhomecontractors.com/gutter-repair-state-question/","2026-04-11 12:36:09"
"https://www.americanhomecontractors.com/roofing/","text/html; charset=UTF-8","200","OK","Indexable","","Roofing Contractor in Maryland & Virginia | American Home Contractors","69","636","Top-rated roofing contractor in MD/VA. GAF Master Elite certified, 10,000+ roofs replaced since 1986.","101","626","","0","Maryland & Virginia’s #1 Roofing Contractor","43","The Roofing Contractor Maryland & Virginia Homeowners Trust Most","64","Start Your Roofing Project Today","32","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/roofing/","","","","","","199194","35975","35975","13.781","","1080","177","6.102","50.163","Fairly Hard","4.267","1","1","","501","120","0","100.000","73","24","0","21","7","0","","","","","f215130399416eadaa916e23b692a64d","0.716","","","","","en-US","1.1","98","1220.000","3193.835","1967.000","1982.000","0.000","0.000","0","0","21","170079","37963","1","70406","16","11367","1","50343","3","0","0","0","0","0","0","4485","12","","","","","","0","0","0","0","0","0","0","0","72.775","Good","231.234","Good","170079","0","Avoids redirects","Server responds quickly (observed 8 ms)","Applies text compression","1 issue found","4 resources found","754","314","361","0","","703","0","39","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/roofing/","2026-04-11 12:36:09"
"https://www.americanhomecontractors.com/about-us/","text/html; charset=UTF-8","200","OK","Indexable","","About American Home Contractors - American Home Contractors","59","584","We are a company that values relationships. With over 100 years of combined experience and serving clients since 1986.","118","739","","0","About American Home Contractors","31","Customer Service","16","Why American Home Contractors","29","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/about-us/","","","","","","181828","32913","32913","12.608","","1206","179","6.737","53.595","Fairly Hard","5.048","1","1","","243","120","0","100.000","68","24","0","25","11","0","","","","","84d68223e8e9ea22a04ad28a1534921f","0.346","","","","","en-US","1.1","96","1720.696","4227.213","2069.000","2108.250","10.500","0.000","0","0","27","168497","34710","1","64527","20","11356","1","57904","4","0","0","0","0","0","1","4485","17","","","","","","0","0","0","0","0","0","0","0","185.166","Good","404.200","Good","168497","0","Avoids redirects","Server responds quickly (observed 13 ms)","Applies text compression","1 issue found","4 resources found","904","","568","0","","596","18533","93","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/about-us/","2026-04-11 12:36:09"
"https://www.americanhomecontractors.com/our-latest-projects/","text/html; charset=UTF-8","200","OK","Indexable","","Our Latest Projects - American Home Contractors","47","444","See our latest work at American Home Contractors. We document each project to ensure your project is the best workmanship possible.","131","835","","0","Our Latest Projects","19","Like what you see?","18","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.americanhomecontractors.com/our-latest-projects/","","","","","","114582","22508","22508","8.622","","109","24","4.542","96.669","Very Easy","1.617","1","1","","14","12","0","10.000","61","22","0","20","6","0","","","","","2f87e9c6fa551143328f154997049958","0.316","","","","","en-US","1.1","99","1250.000","2290.592","1882.035","1889.579","13.000","0.000","0","0","12","112500","24788","1","18454","5","11353","1","57905","4","0","0","0","0","0","1","4485","3","","","","","","0","0","0","0","0","0","0","0","109.914","Good","284.852","Good","112500","0","Avoids redirects","Server responds quickly (observed 7 ms)","Applies text compression","","2 resources found","754","","160","0","","440","0","0","0","","0","1 resource found","100","","","100","","","","","","https://www.americanhomecontractors.com/our-latest-projects/","2026-04-11 12:36:10"
