"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://appleroof.com/","Indexable","","0","","834","394","0","100.000","147","78","0","8","7","0"
"https://appleroof.com/steep-slope/","Indexable","","1","","806","394","0","100.000","124","55","0","7","6","0"
"https://appleroof.com/request-bid-for-commercial-roofing-project/","Indexable","","1","","807","394","0","100.000","122","53","0","8","7","0"
"https://appleroof.com/options-materials/wood-shake-roofing/","Indexable","","1","","792","394","0","100.000","130","55","0","9","8","0"
"https://appleroof.com/commercial-roofing/new-commercial-construction/","Indexable","","1","","803","394","0","100.000","113","52","0","7","6","0"
"https://appleroof.com/maintenance/","Indexable","","1","","818","394","0","100.000","123","59","0","12","11","0"
"https://appleroof.com/sherman-branch/","Indexable","","1","","15","9","0","2.280","136","55","0","12","11","0"
"https://appleroof.com/options-materials/hail-damage-roof-repair/","Indexable","","1","","792","394","0","100.000","139","57","0","10","9","0"
"https://appleroof.com/dallas/","Indexable","","1","","53","34","0","8.630","191","79","0","24","23","0"
"https://appleroof.com/big-lake-mn/","Indexable","","1","","9","4","0","1.020","185","77","0","16","15","0"
"https://appleroof.com/annandale-mn/","Indexable","","1","","10","4","0","1.020","186","76","0","15","14","0"
"https://appleroof.com/gutters/","Indexable","","1","","888","394","0","100.000","112","51","0","7","6","0"
"https://appleroof.com/options-materials/metal-roofing/","Indexable","","1","","857","394","0","100.000","117","55","0","7","6","0"
"https://appleroof.com/replacement/","Indexable","","1","","872","394","0","100.000","118","56","0","7","6","0"
"https://appleroof.com/kenosha/","Indexable","","1","","23","18","0","4.570","122","53","0","7","6","0"
"https://appleroof.com/south-carolina-roofing-company/","Indexable","","1","","24","18","0","4.570","135","53","0","12","11","0"
"https://appleroof.com/commercial-roofing/roof-repair/","Indexable","","1","","798","394","0","100.000","123","53","0","9","8","0"
"https://appleroof.com/plymouth/","Indexable","","1","","26","18","0","4.570","189","83","0","23","22","0"
"https://appleroof.com/our-process/","Indexable","","1","","1627","394","0","100.000","116","52","0","7","6","0"
"https://appleroof.com/residential-roofing/","Indexable","","1","","1341","394","0","100.000","138","69","0","7","6","0"
"https://appleroof.com/wind-damaged-roof-repair/","Indexable","","1","","804","394","0","100.000","143","70","0","18","14","0"
"https://appleroof.com/window-replacement/","Indexable","","1","","925","394","0","100.000","112","51","0","7","6","0"
"https://appleroof.com/category/news/","Non-Indexable","noindex","1","","402","394","0","100.000","128","57","0","7","6","0"
"https://appleroof.com/commercial-roofing/emergency-response-services/","Indexable","","1","","814","394","0","100.000","134","58","0","9","8","0"
"https://appleroof.com/planning-management/","Indexable","","1","","797","394","0","100.000","118","52","0","7","6","0"
"https://appleroof.com/st-louis/","Indexable","","1","","35","26","0","6.600","186","79","0","23","22","0"
"https://appleroof.com/commercial-roofing/multi-family-roofing/","Indexable","","1","","1240","394","0","100.000","120","52","0","7","6","0"
"https://appleroof.com/anoka-mn/","Indexable","","1","","9","4","0","1.020","182","77","0","14","13","0"
"https://appleroof.com/asphalt-shingle-roofing-in-dallas-tx/","Indexable","","1","","112","105","0","26.650","142","69","0","9","8","0"
"https://appleroof.com/free-estimate/","Indexable","","1","","812","394","0","100.000","110","51","0","7","6","0"
"https://appleroof.com/our-brands/","Indexable","","1","","1190","394","0","100.000","117","54","0","12","9","0"
"https://appleroof.com/siding/","Indexable","","1","","892","394","0","100.000","118","56","0","7","6","0"
"https://appleroof.com/kearney/","Indexable","","1","","24","18","0","4.570","156","84","0","13","12","0"
"https://appleroof.com/7-year-warranty/","Indexable","","1","","837","394","0","100.000","120","53","0","8","7","0"
"https://appleroof.com/options-materials/slate-roofing/","Indexable","","1","","812","394","0","100.000","117","52","0","7","6","0"
"https://appleroof.com/commercial-roofing/commercial-roof-replacement/","Indexable","","1","","796","394","0","100.000","113","51","0","7","6","0"
"https://appleroof.com/carpentry-paint/","Indexable","","1","","800","394","0","100.000","121","57","0","7","6","0"
"https://appleroof.com/lincoln/","Indexable","","1","","24","18","0","4.570","153","81","0","13","12","0"
"https://appleroof.com/schedule-free-inspection/","Indexable","","1","","1353","394","0","100.000","114","52","0","7","6","0"
"https://appleroof.com/wichita-ks/","Indexable","","1","","13","8","0","2.030","147","54","0","26","21","0"
"https://appleroof.com/blue-springs/","Indexable","","1","","21","15","0","3.810","136","56","0","13","12","0"
"https://appleroof.com/privacy-policy/","Indexable","","1","","1000","394","0","100.000","113","51","0","7","6","0"
"https://appleroof.com/omaha/","Indexable","","1","","26","19","0","4.820","165","85","0","13","12","0"
"https://appleroof.com/residential-roofing/storm-damage-repair/","Indexable","","1","","817","394","0","100.000","122","52","0","7","6","0"
"https://appleroof.com/rochester/","Indexable","","1","","31","21","0","5.330","191","83","0","19","17","0"
"https://appleroof.com/commercial-roofing/industrial-building-roofing/","Indexable","","1","","802","394","0","100.000","116","53","0","7","6","0"
"https://appleroof.com/commercial-roofing/office-building-roofing/","Indexable","","1","","803","394","0","100.000","120","54","0","7","6","0"
"https://appleroof.com/careers-page/","Indexable","","1","","1185","394","0","100.000","111","51","0","7","6","0"
"https://appleroof.com/chicago-il/","Indexable","","1","","9","4","0","1.020","183","89","0","24","23","0"
"https://appleroof.com/oklahoma-roofing-company/","Indexable","","1","","20","14","0","3.550","133","56","0","13","12","0"
"https://appleroof.com/about-us/","Indexable","","1","","1357","394","0","100.000","134","69","0","7","6","0"
"https://appleroof.com/commercial-roofing/","Indexable","","1","","1278","394","0","100.000","144","55","0","10","9","0"
"https://appleroof.com/roof-installation-services-in-dallas-tx/","Indexable","","1","","99","90","0","22.840","139","57","0","11","9","0"
"https://appleroof.com/repair/","Indexable","","1","","872","394","0","100.000","120","56","0","7","6","0"
"https://appleroof.com/commercial-roofing/school-roofing/","Indexable","","1","","802","394","0","100.000","115","52","0","7","6","0"
"https://appleroof.com/service-areas/","Indexable","","1","","1205","394","0","100.000","175","86","0","8","7","0"
"https://appleroof.com/bentonville-branch/","Indexable","","1","","26","19","0","4.820","132","53","0","12","11","0"
"https://appleroof.com/springfield/","Indexable","","1","","25","18","0","4.570","137","58","0","13","11","0"
"https://appleroof.com/lakewood/","Indexable","","1","","20","18","0","4.570","120","53","0","9","8","0"
"https://appleroof.com/commercial-roofing/government-building-roofing/","Indexable","","1","","808","394","0","100.000","119","53","0","7","6","0"
"https://appleroof.com/alpharetta-ga/","Indexable","","1","","13","8","0","2.030","202","67","0","21","20","0"
"https://appleroof.com/fort-myers-branch/","Indexable","","1","","26","19","0","4.820","125","55","0","53","28","0"
"https://appleroof.com/additional-services/","Indexable","","1","","846","394","0","100.000","130","53","0","7","6","0"
"https://appleroof.com/des-moines/","Indexable","","1","","24","18","0","4.570","126","55","0","13","12","0"
