"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"baker roofing company","1,600","1","6,600","$4.09","0.25","-16%","6,600","6,600","8,100","6,600","6,600","6,600","6,600","6,600","6,600","5,400","5,400","5,400"
"roofing company","390","3","165,000","$7.03","0.21","-12%","165,000","201,000","201,000","201,000","165,000","135,000","110,000","165,000","135,000","90,500","135,000","135,000"
"baker roofing raleigh nc","220","1","590","$4.48","0.36","-23%","720","720","720","720","590","720","720","590","590","480","390","480"
"roofing contractors raleigh nc","220","1","1,300","$5.64","0.09","-7%","2,400","1,900","590","2,400","1,000","480","480","1,300","1,900","1,600","1,300","1,300"
"roof replacement raleigh nc","220","1","1,000","$13.44","0.1","-12%","1,900","720","480","320","210","320","1,300","1,600","1,600","1,600","1,000","880"
"baker roofing raleigh","120","2","590","$4.48","0.36","-23%","720","720","720","720","590","720","720","590","590","480","390","480"
"roofing companies raleigh nc","110","1","4,400","$12.21","0.16","-11%","3,600","3,600","1,900","3,600","2,400","1,600","1,900","6,600","14,800","8,100","6,600","4,400"
"residential roofing raleigh nc","79","1","320","$0.00","0.05","-15%","1,000","720","70","110","70","40","40","260","390","390","320","260"
"roof replacement contractor","75","9","9,900","$9.26","0.06","-47%","2,400","2,400","4,400","6,600","14,800","22,200","33,100","12,100","6,600","6,600","5,400","5,400"
"tpo roofing","70","74","33,100","$2.29","0.51","-20%","40,500","40,500","40,500","40,500","40,500","33,100","33,100","33,100","27,100","22,200","27,100","27,100"
"commercial roofers orlando","66","1","720","$8.87","0.34","-62%","1,000","880","880","880","720","590","720","1,300","390","170","260","260"
"roofing services near me","54","13","22,200","$3.21","0.18","-39%","49,500","74,000","27,100","9,900","12,100","9,900","8,100","14,800","9,900","4,400","5,400","12,100"
"commercial roofing contractors raleigh nc","42","2","590","$6.64","0.15","185%","590","590","590","320","260","140","590","590","590","480","390","1,600"
"roofing wilmington","37","7","1,900","$6.72","0.33","-24%","4,400","4,400","1,900","2,900","1,600","1,300","1,000","1,900","1,600","1,300","1,300","1,600"
"roofing companies in cary nc","36","1","720","$13.33","0.11","77%","260","320","260","260","210","140","260","1,300","1,600","1,600","1,300","1,300"
"baker roofing raleigh nc","34","5","590","$4.48","0.36","-23%","720","720","720","720","590","720","720","590","590","480","390","480"
"roof replacement cary nc","34","2","320","$2.20","0.08","-79%","210","260","170","140","50","50","480","720","720","590","480","70"
"commercial roofing wilmington","33","1","110","$0.00","0.09","15%","590","110","90","40","40","70","30","30","30","140","140","140"
"baker roofing asheville","33","1","70","$10.47","0.51","-45%","90","90","110","90","90","70","90","70","30","40","50","40"
"residential roofing near me","33","9","18,100","$9.07","0.06","-42%","110,000","22,200","6,600","5,400","5,400","4,400","14,800","8,100","1,900","4,400","9,900","9,900"
"residential roof repair near me","30","14","3,600","$8.94","0.16","-78%","33,100","5,400","1,000","1,000","1,000","880","1,300","1,000","320","590","720","880"
