"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"erie roofing","1,100","1","3,600","$5.81","0.74","-7%","4,400","5,400","4,400","4,400","4,400","4,400","3,600","3,600","2,900","2,400","2,900","3,600"
"erie metal roofs","580","1","1,600","$5.13","0.63","-45%","2,400","1,900","1,900","1,900","2,900","1,600","1,300","1,600","880","880","1,000","880"
"how long should a roof last","310","7","14,800","$1.07","0.05","-26%","12,100","18,100","18,100","14,800","14,800","14,800","14,800","12,100","12,100","9,900","8,100","9,900"
"shingle repair","230","5","6,600","$5.37","0.52","-66%","6,600","12,100","9,900","9,900","8,100","5,400","5,400","8,100","6,600","4,400","3,600","2,400"
"erie metal roofs","190","3","1,600","$5.13","0.63","-45%","2,400","1,900","1,900","1,900","2,900","1,600","1,300","1,600","880","880","1,000","880"
"erie roofing","170","5","3,600","$5.81","0.74","-7%","4,400","5,400","4,400","4,400","4,400","4,400","3,600","3,600","2,900","2,400","2,900","3,600"
"erie roofing company","120","2","720","$4.34","0.84","11%","880","1,000","720","720","590","390","590","480","590","590","480","720"
"installing metal shingles","97","1","590","$3.53","0.06","54%","170","320","320","320","590","590","720","720","880","720","590","880"
"erie roofing","92","7","3,600","$5.81","0.74","-7%","4,400","5,400","4,400","4,400","4,400","4,400","3,600","3,600","2,900","2,400","2,900","3,600"
"erie home roofing solutions","79","1","210","$4.26","0.71","-46%","320","260","260","260","210","210","210","170","210","110","90","110"
"waterproofing basement walls from inside","66","4","1,600","$1.85","0.92","-31%","1,600","1,300","1,900","1,600","1,600","1,600","1,600","1,600","1,600","1,000","880","1,000"
"repair asphalt shingles","65","3","720","$5.40","0.24","-61%","590","1,000","1,000","1,300","1,000","720","590","480","480","320","260","260"
"asphalt shingle roof lifespan","61","5","1,300","$2.23","0.06","-38%","1,900","1,900","1,900","1,600","1,600","1,600","1,300","1,600","880","720","1,000","880"
"how long do asphalt shingles last","61","5","1,300","$1.15","0.06","-26%","1,900","1,600","1,600","1,600","1,300","1,300","1,300","1,300","1,300","1,000","1,000","1,000"
"architectural shingles lifespan","59","2","720","$2.90","0.04","-16%","590","1,000","1,000","880","720","720","720","590","590","590","390","590"
"steel shingles","57","92","27,100","$1.50","0.94","-32%","27,100","33,100","33,100","33,100","33,100","27,100","27,100","27,100","22,200","22,200","14,800","18,100"
"steel shingles","57","26","27,100","$1.50","0.94","-32%","27,100","33,100","33,100","33,100","33,100","27,100","27,100","27,100","22,200","22,200","14,800","18,100"
"metal shingles","57","44","27,100","$1.50","0.94","-32%","27,100","33,100","33,100","33,100","33,100","27,100","27,100","27,100","22,200","22,200","14,800","18,100"
"mildew smell in basement","57","8","2,900","$0.55","0.88","-68%","1,300","1,900","2,400","4,400","4,400","4,400","4,400","4,400","4,400","2,400","1,300","1,000"
"metal roof that looks like shingles","53","3","4,400","$1.93","0.91","-38%","5,400","5,400","5,400","5,400","5,400","5,400","5,400","4,400","4,400","3,600","2,400","2,900"
"erie home toledo ohio","52","1","170","$4.16","0.39","10%","210","260","210","170","170","170","210","170","170","170","170","210"
"erie home metal roofs","52","2","260","$3.91","0.59","-14%","320","260","260","390","320","260","170","210","170","140","210","210"
"erie construction midwest","52","1","210","$4.11","0.27","9%","210","170","110","140","170","170","170","260","260","260","170","210"
"how long does a roof last","46","12","14,800","$1.07","0.05","-26%","12,100","18,100","18,100","14,800","14,800","14,800","14,800","12,100","12,100","9,900","8,100","9,900"
"how long does a metal roof last","44","8","4,400","$0.30","0.14","-23%","4,400","6,600","5,400","5,400","5,400","5,400","4,400","4,400","4,400","3,600","2,900","3,600"
"red metal roof house color combinations","43","1","170","$0.00","0.05","-39%","260","320","320","210","140","170","140","140","140","110","90","110"
"why do houses have basements","42","2","260","$0.00","0.01","-4%","210","320","260","260","260","320","320","260","260","260","260","260"
"how to get a free new roof","42","2","210","$3.98","0.49","-34%","210","320","260","320","260","210","210","170","170","140","110","140"
"erie home metal roofing","42","2","260","$2.99","0.5","-16%","260","320","260","260","390","320","260","170","210","170","140","210"
"what are architectural shingles","41","7","1,600","$0.02","0.12","-20%","1,300","1,900","1,900","1,900","1,900","1,900","1,900","1,600","1,600","1,300","1,000","1,300"
"how often does a roof need to be replaced","41","6","1,600","$4.15","0.06","0%","1,600","2,400","1,900","1,900","1,600","1,600","1,600","1,300","1,300","1,300","1,000","1,600"
"metal roof lifespan","39","4","590","$1.60","0.09","-21%","880","720","720","720","720","590","590","590","480","390","390","480"
"grants for roof replacement","35","3","1,000","$1.75","0.52","-3%","1,000","1,300","1,300","1,300","1,000","1,000","1,000","1,000","1,000","880","590","1,000"
"free roof replacement","35","3","480","$5.15","0.81","-38%","590","590","720","720","590","590","480","480","480","320","260","320"
"life of a metal roof","34","5","720","$0.77","0.16","-23%","1,300","880","880","720","880","720","880","720","480","480","590","590"
"architectural roof shingles life expectancy","33","1","90","$0.31","0.06","-41%","170","140","90","90","90","90","70","70","50","50","50","50"
