"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"greenwood industries","300","1","1,600","$2.19","0.05","-3%","1,600","1,600","2,400","1,600","1,600","1,300","1,600","1,600","1,300","1,600","1,900","1,600"
"greenwood","23","61","673,000","$0.39","0.09","-19%","673,000","673,000","673,000","673,000","823,000","823,000","673,000","673,000","673,000","673,000","550,000","550,000"
"greenwood roofing","15","1","480","$2.06","0.4","-63%","590","590","720","590","880","320","320","320","390","390","170","170"
"greenwood roof services","11","2","40","$0.14","0.57","-33%","90","90","40","40","50","40","30","30","30","30","30","30"
"greenwood industries glastonbury ct","8","2","50","$2.63","0.36","-4%","50","70","70","40","50","30","50","50","70","50","40","50"
"apollo roofing and sheet metal","6","2","50","$0.00","0.08","-57%","40","70","40","40","70","70","50","40","30","50","30","20"
"greenwood inc","2","13","480","$0.00","0.02","1%","480","480","480","480","590","480","480","480","390","390","480","480"
"greenwood company","2","7","260","$0.00","0.01","-11%","260","260","260","260","210","260","210","260","210","170","260","210"
"wood industries","1","60","3,600","$0.67","0.08","-9%","4,400","6,600","4,400","3,600","4,400","2,900","4,400","2,900","3,600","2,900","3,600","3,600"
"worcester envelope company","1","66","480","$0.00","0.02","19%","480","480","480","480","390","390","480","480","590","480","590","590"
"commercial roofing contractors massachusetts","1","87","260","$29.72","0.14","-76%","480","480","390","170","20","70","30","1,600","110","10","30","70"
"roofing co worcester ma","1","9","110","$4.02","0.7","-61%","70","50","50","40","90","70","140","170","210","170","110","40"
"rooftop industries","1","51","4,400","$1.39","0.12","-2%","5,400","4,400","4,400","4,400","4,400","5,400","5,400","4,400","4,400","2,900","3,600","4,400"
"greenwood llc","1","8","70","$0.00","0","6%","90","50","70","90","90","50","50","50","70","40","70","70"
"greenwood construction","1","3","480","$1.09","0.08","-8%","590","590","590","480","480","480","480","590","480","480","480","480"
"greenwood commercial","1","8","30","$0.00","0","-11%","40","20","30","30","40","50","30","50","30","20","30","30"
"roofing worcester ma","0","12","110","$4.17","0.43","-25%","170","170","90","140","40","70","140","260","50","40","170","90"
"greenwoods logo","0","56","320","$0.00","0","-15%","260","320","260","320","260","390","320","320","320","320","320","260"
"greenwoods locations","0","71","110","$0.00","0.01","23%","110","90","140","110","90","110","90","110","140","90","140","140"
"greenwood technologies","0","19","90","$0.00","0.04","-27%","90","110","70","90","140","110","90","110","90","70","110","70"
"greenwood engineering","0","24","210","$0.00","0","20%","260","260","260","210","170","210","210","210","170","170","210","260"
"greenwood business","0","27","70","$0.00","0.01","-35%","70","70","90","90","70","70","70","40","170","40","90","50"
"greenwood and company","0","29","260","$0.00","0.01","8%","260","260","260","260","260","210","260","210","260","210","170","260"
"hightower industries llc","0","95","20","$0.00","0.05","-52%","30","30","30","30","20","20","20","20","10","10","20","10"
"hudson valley roofers inc","0","78","30","$4.84","0.16","-15%","20","40","30","40","30","30","40","40","50","30","40","30"
"industrial roofing","0","41","5,400","$1.41","0.11","11%","4,400","3,600","4,400","4,400","5,400","5,400","5,400","5,400","5,400","4,400","4,400","5,400"
