"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"kpost","18","1","2,900","$1.43","0.04","-13%","3,600","3,600","3,600","3,600","3,600","3,600","3,600","2,900","2,900","2,900","2,900","2,900"
"roofing and waterproofing","2","7","320","$2.09","0.54","-33%","390","480","390","880","210","260","320","170","140","170","140","210"
"post k","2","5","480","$0.08","0.01","-15%","480","390","480","480","480","480","480","480","390","480","480","390"
"residential roofing dallas texas","1","15","260","$0.00","0.17","-63%","1,300","480","140","140","90","70","260","70","50","70","110","90"
"roofing service in dallas","1","21","720","$1.94","0.24","-60%","720","720","590","480","1,600","1,000","720","390","480","320","480","260"
"roofing post","1","17","320","$7.81","0.36","-20%","480","390","390","320","260","320","390","320","260","210","260","260"
"post roofing","1","5","70","$3.12","0.25","-34%","50","50","70","70","110","40","50","50","50","70","70","40"
"k&p roofing","1","51","320","$2.75","0.1","-28%","170","480","390","390","260","260","320","260","260","210","260","210"
"kpost roofing & waterproofing reviews","1","16","0","$0.00","0","","","","","","","","","","","","",""
"kpos","1","98","110,000","$0.02","0.14","-32%","60,500","60,500","74,000","60,500","60,500","60,500","550,000","90,500","74,000","74,000","60,500","74,000"
"commercial roofing contractors dallas tx","0","91","480","$9.52","0.09","-9%","390","880","1,300","390","390","210","320","390","590","480","480","480"
"roofing dallas texas","0","63","4,400","$1.62","0.26","6%","5,400","6,600","4,400","4,400","3,600","3,600","2,900","4,400","3,600","2,900","3,600","4,400"
"roofing contractors in dallas","0","85","4,400","$2.57","0.35","23%","4,400","6,600","4,400","3,600","4,400","5,400","3,600","3,600","4,400","3,600","2,900","5,400"
"roofing contractor dfw","0","29","90","$0.00","0.1","-81%","320","480","70","30","40","40","40","70","40","10","50","20"
"roofing companies dfw","0","32","720","$5.10","0.49","-43%","590","1,300","1,000","480","720","1,000","720","880","390","260","390","390"
"roofing supplies dallas","0","75","210","$2.92","0.51","-54%","260","320","320","210","170","110","90","480","140","70","70","90"
"k simon construction","0","93","140","$4.29","0.09","47%","140","170","110","170","110","170","140","90","90","140","170","210"
