"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"roof tune-up near me","52","1","170","$9.50","0.78","-74%","480","480","210","320","140","70","110","170","110","70","50","50"
"roof tune-up cost","52","1","210","$5.70","0.25","-20%","170","260","210","210","260","210","210","320","170","170","170","170"
"american home contractors va","52","1","110","$4.91","0.48","-15%","90","110","110","140","140","110","90","110","90","70","110","90"
"lean to","43","31","49,500","$0.72","0.77","-15%","49,500","49,500","49,500","49,500","49,500","49,500","49,500","60,500","40,500","33,100","49,500","40,500"
"tesla solar roof cost","33","11","2,900","$2.63","0.37","-28%","3,600","4,400","3,600","2,900","2,900","2,900","2,400","1,900","1,900","1,600","1,600","1,900"
"roof tune-up service","21","1","110","$10.65","0.11","28%","50","10","20","20","170","110","170","260","140","110","110","140"
"lean to roof design","21","4","880","$0.61","0.79","0%","1,000","880","880","1,000","1,000","880","880","880","720","590","880","880"
"roof tune up","17","3","590","$6.51","0.43","-37%","590","720","720","720","1,000","590","590","880","480","390","320","390"
"gutter tune-up","14","3","210","$5.63","0.49","-17%","90","210","170","210","260","320","320","210","170","170","140","170"
"roof repair fairfax va","13","4","260","$23.50","0.36","-58%","720","390","480","210","140","90","140","590","140","50","50","110"
"solar shingles maryland","12","1","30","$0.00","0","-71%","70","90","50","30","10","20","90","10","10","10","10","10"
"american home contractors chantilly","12","1","40","$3.96","0.65","-20%","10","40","20","50","40","50","70","40","50","20","30","30"
"gaf presidential shingles","12","5","260","$0.89","0.81","-32%","260","320","210","210","320","320","320","260","210","170","210","170"
"rain gutter cleaning cost","11","27","8,100","$1.48","0.5","-32%","8,100","9,900","9,900","9,900","8,100","6,600","8,100","8,100","8,100","6,600","5,400","5,400"
"gutter cleaning rates","11","89","8,100","$1.56","0.47","-33%","6,600","8,100","9,900","9,900","9,900","8,100","6,600","8,100","8,100","8,100","6,600","5,400"
"gutter cleaning rates","11","85","8,100","$1.56","0.47","-33%","6,600","8,100","9,900","9,900","9,900","8,100","6,600","8,100","8,100","8,100","6,600","5,400"
"gutter cleaning rates","11","29","8,100","$1.56","0.47","-33%","6,600","8,100","9,900","9,900","9,900","8,100","6,600","8,100","8,100","8,100","6,600","5,400"
"gutter tune up","11","4","210","$5.63","0.49","-17%","90","210","170","210","260","320","320","210","170","170","140","170"
"gutter inspection near me","11","4","210","$4.08","0.84","-54%","90","720","210","140","170","210","170","260","140","70","50","90"
"lean to roof","9","30","9,900","$0.86","0.95","-19%","12,100","12,100","12,100","12,100","9,900","9,900","9,900","9,900","8,100","6,600","8,100","8,100"
"tesla solar roof cost calculator","8","11","720","$2.58","0.41","-4%","1,300","880","880","1,000","1,000","880","590","480","390","390","480","720"
"how much does it cost to side a house","8","89","3,600","$2.72","0.56","-21%","5,400","5,400","5,400","4,400","4,400","3,600","2,900","2,900","2,400","1,900","2,400","2,900"
"presidential roof shingles","7","44","4,400","$2.70","0.86","-30%","3,600","4,400","4,400","5,400","4,400","4,400","4,400","4,400","4,400","3,600","2,900","2,900"
"exterior door installation cost","7","18","8,100","$2.33","0.08","20%","8,100","6,600","8,100","8,100","9,900","9,900","8,100","8,100","8,100","5,400","8,100","9,900"
"roofing tune up","6","3","590","$7.99","0.5","-47%","720","720","720","1,000","590","590","880","480","390","320","390","320"
"lean-to","6","42","49,500","$0.72","0.77","-15%","49,500","49,500","49,500","49,500","49,500","49,500","49,500","60,500","40,500","33,100","49,500","40,500"
"ice dam","6","43","33,100","$0.38","0.26","439%","14,800","8,100","5,400","4,400","4,400","4,400","5,400","5,400","9,900","49,500","90,500","165,000"
"door replacement price","6","52","3,600","$1.88","0.58","-15%","2,900","4,400","3,600","3,600","3,600","3,600","3,600","3,600","3,600","2,900","2,400","2,900"
"solar roof installers near me","5","7","210","$0.32","0.5","-42%","590","260","170","110","140","110","170","260","140","70","140","110"
"making a lean to roof","5","9","480","$0.63","0.96","-24%","590","590","590","590","590","590","480","480","390","320","480","390"
