"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"supreme roofing","40","1","1,900","$2.35","0.19","-2%","1,900","2,400","1,900","1,900","1,900","1,900","1,900","1,900","2,400","1,600","1,600","1,900"
"roofers hiring near me","13","9","320","$1.37","0.48","-1%","480","390","390","320","320","320","320","260","260","210","260","320"
"life church oklahoma city ok","9","62","5,400","$0.24","0.13","0%","4,400","5,400","5,400","4,400","4,400","6,600","5,400","5,400","5,400","6,600","5,400","5,400"
"commercial roofing dallas tx","4","4","170","$11.80","0.46","-46%","590","320","170","110","30","140","210","70","50","140","70","90"
"commercial roofing company fort worth","3","8","170","$0.00","0.08","-57%","210","210","140","70","50","20","140","880","70","40","40","70"
"roofing jobs near me","3","13","6,600","$0.20","0.22","-11%","8,100","6,600","6,600","6,600","6,600","6,600","5,400","5,400","4,400","4,400","6,600","5,400"
"roofing jobs","3","14","8,100","$0.25","0.21","-16%","8,100","9,900","9,900","9,900","8,100","8,100","8,100","8,100","6,600","5,400","5,400","6,600"
"roofing dallas texas","3","5","4,400","$1.62","0.26","6%","5,400","6,600","4,400","4,400","3,600","3,600","2,900","4,400","3,600","2,900","3,600","4,400"
"commercial roof repair dallas tx","2","8","70","$0.00","0.13","-68%","110","210","90","70","20","10","40","70","10","30","70","20"
"lon smith roofing","2","53","880","$3.20","0.28","-24%","1,000","1,600","1,300","1,000","1,000","880","880","880","720","720","590","720"
"commercial roofing tulsa","1","15","90","$51.06","0.21","-31%","320","320","70","70","90","50","70","30","40","30","50","70"
"commercial roofing contractors fort worth tx","1","15","110","$0.00","0.03","-68%","210","210","170","70","20","10","140","480","70","10","30","40"
"compaias de roofing en dallas tx","1","7","0","$0.00","0","","","","","","","","","","","","",""
"supreme systems","1","17","880","$0.00","0","-30%","720","880","1,000","1,000","1,000","880","1,000","880","720","720","720","590"
"supreme roofing solutions","1","14","90","$1.78","0.1","19%","90","110","90","90","110","90","90","110","90","50","70","110"
"supreme roofing reviews","1","8","50","$0.00","0.15","-22%","50","70","30","40","50","70","50","50","50","70","40","40"
"supreme remodelers denver","1","9","0","$0.00","0","","","","","","","","","","","","",""
"supreme metal tuscaloosa alabama","1","12","70","$3.58","0.33","9%","110","50","50","70","40","70","50","70","90","50","50","70"
"residential roofing jobs near me","1","9","40","$0.56","0.29","-28%","40","40","50","70","50","50","30","40","20","40","40","30"
"residential roofing dallas texas","1","77","260","$0.00","0.17","-63%","1,300","480","140","140","90","70","260","70","50","70","110","90"
"roofing services dallas","1","18","720","$1.70","0.18","-30%","720","720","720","590","480","1,600","1,000","720","390","480","320","480"
