"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"tecta america","660","1","2,900","$3.13","0.26","-10%","2,900","3,600","3,600","3,600","3,600","3,600","3,600","2,900","2,900","2,900","2,400","2,900"
"tecta america roofing","230","1","1,000","$3.16","0.32","17%","1,000","1,900","880","880","880","1,000","1,300","880","1,000","1,300","1,000","1,300"
"roofing business near me","220","33","301,000","$8.77","0.5","-25%","673,000","450,000","301,000","368,000","301,000","301,000","368,000","301,000","165,000","165,000","246,000","246,000"
"roofing companies in usa","75","6","4,400","$1.46","0.28","-14%","3,600","5,400","5,400","5,400","3,600","5,400","4,400","3,600","3,600","2,900","2,900","3,600"
"tecta america corporation","64","1","260","$2.90","0.05","38%","320","260","260","210","260","210","170","260","390","320","320","390"
"roofing companies","58","17","135,000","$7.43","0.38","-50%","201,000","201,000","201,000","165,000","135,000","110,000","165,000","135,000","90,500","135,000","135,000","74,000"
"tecta america roofing company","43","1","170","$5.95","0.12","-53%","70","170","70","140","210","170","260","170","480","260","170","90"
"commercial roofing contractors","29","8","4,400","$6.21","0.06","-44%","6,600","9,900","5,400","2,900","4,400","4,400","4,400","5,400","2,900","1,600","1,000","2,400"
"best roofers near me","23","72","12,100","$5.92","0.58","-26%","27,100","18,100","12,100","14,800","14,800","12,100","14,800","12,100","6,600","6,600","9,900","9,900"
"tecta america central florida commercial roofing","23","2","140","$0.00","0.02","-29%","170","140","170","170","210","170","140","140","140","170","110","110"
"roofing company near me","23","48","301,000","$8.77","0.5","-25%","673,000","450,000","301,000","368,000","301,000","301,000","368,000","301,000","165,000","165,000","246,000","246,000"
"commercial roofing services","22","7","1,000","$12.46","0.15","-74%","1,000","1,900","1,900","1,300","1,000","590","590","1,900","720","390","260","260"
"roofing services near me","19","25","22,200","$3.21","0.18","-39%","49,500","74,000","27,100","9,900","12,100","9,900","8,100","14,800","9,900","4,400","5,400","12,100"
"roofing near me","19","67","301,000","$5.47","0.48","-21%","823,000","450,000","246,000","301,000","246,000","246,000","301,000","246,000","165,000","201,000","246,000","246,000"
"premier roofing company","17","76","9,900","$2.54","0.29","-12%","12,100","12,100","9,900","9,900","9,900","9,900","9,900","8,100","6,600","6,600","6,600","8,100"
"united states of america wiki","14","33","27,100","$0.34","0","28%","33,100","40,500","27,100","27,100","22,200","22,200","22,200","22,200","22,200","18,100","18,100","33,100"
"miller union atlanta ga","13","81","12,100","$0.20","0.05","11%","12,100","12,100","9,900","9,900","9,900","12,100","9,900","9,900","12,100","9,900","9,900","12,100"
"roof replacement contractor","12","21","9,900","$9.26","0.06","-47%","2,400","2,400","4,400","6,600","14,800","22,200","33,100","12,100","6,600","6,600","5,400","5,400"
"teca","11","90","49,500","$0.08","0.25","4%","49,500","49,500","49,500","49,500","49,500","49,500","40,500","40,500","49,500","49,500","40,500","49,500"
"roof replacement contractors","11","51","8,100","$16.09","0.05","10%","33,100","12,100","6,600","6,600","5,400","5,400","5,400","6,600","3,600","6,600","6,600","9,900"
"roofing contractor near me","10","39","135,000","$6.12","0.07","-6%","550,000","201,000","110,000","135,000","90,500","60,500","135,000","90,500","14,800","60,500","135,000","135,000"
"roofing contractor","10","55","201,000","$6.62","0.06","-30%","201,000","165,000","301,000","246,000","201,000","165,000","165,000","135,000","74,000","135,000","368,000","135,000"
"commercial reroofing service","9","3","110","$0.00","0.04","-73%","20","70","390","110","30","20","50","480","70","20","40","30"
"top rated roofers near me","9","72","12,100","$5.92","0.58","-26%","27,100","18,100","12,100","14,800","14,800","12,100","14,800","12,100","6,600","6,600","9,900","9,900"
"weatherguard","9","98","18,100","$0.81","0.79","3%","18,100","18,100","18,100","18,100","18,100","18,100","14,800","14,800","18,100","18,100","18,100","18,100"
