"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"tecta america","660","1","2,900","$3.13","0.26","-10%","2,900","3,600","3,600","3,600","3,600","3,600","3,600","2,900","2,900","2,900","2,400","2,900"
"tecta america roofing","230","1","1,000","$3.16","0.32","17%","1,000","1,900","880","880","880","1,000","1,300","880","1,000","1,300","1,000","1,300"
"roofing business near me","220","33","301,000","$8.77","0.5","-25%","673,000","450,000","301,000","368,000","301,000","301,000","368,000","301,000","165,000","165,000","246,000","246,000"
"roofing companies in usa","75","6","4,400","$1.46","0.28","-14%","3,600","5,400","5,400","5,400","3,600","5,400","4,400","3,600","3,600","2,900","2,900","3,600"
"schwickerts mankato","70","3","1,000","$2.78","0.21","-7%","1,000","1,000","880","1,000","1,000","1,000","880","880","1,000","880","880","880"
"tecta america corporation","64","1","260","$2.90","0.05","38%","320","260","260","210","260","210","170","260","390","320","320","390"
"tmr roofing","64","1","390","$1.79","0.08","2%","390","480","390","390","390","390","390","320","390","320","320","390"
"tuscano-maher roofing","64","1","390","$1.79","0.08","2%","390","480","390","390","390","390","390","320","390","320","320","390"
"roofing companies","58","17","135,000","$7.43","0.38","-50%","201,000","201,000","201,000","165,000","135,000","110,000","165,000","135,000","90,500","135,000","135,000","74,000"
"roof replacement fort wayne","49","1","210","$12.68","0.16","-62%","880","1,300","390","30","20","20","10","10","10","10","10","90"
"tecta america roofing company","43","1","170","$5.95","0.12","-53%","70","170","70","140","210","170","260","170","480","260","170","90"
"clark museum","38","93","22,200","$2.26","0.08","-21%","18,100","22,200","18,100","22,200","22,200","33,100","33,100","27,100","27,100","18,100","14,800","18,100"
"commercial roofing phoenix","34","2","320","$24.78","0.24","-71%","720","1,300","480","140","70","40","110","390","90","110","110","90"
"tecta america new england","34","2","210","$2.38","0.1","23%","210","260","260","210","210","260","170","170","210","140","170","260"
"commercial roofing west palm beach","33","1","110","$2.43","0.22","-82%","210","320","90","90","110","50","90","110","170","10","10","20"
"commercial roofing sioux falls","33","1","110","$3.98","0.89","-91%","480","720","20","10","10","10","10","10","10","10","30","10"
"fja christiansen roofing milwaukee","33","1","110","$1.70","0.1","-14%","110","110","140","110","110","90","90","110","110","90","90","90"
"blackmore and buckner roofing","32","1","140","$2.29","0.08","3%","170","170","140","110","110","110","170","110","170","110","110","140"
"united states army museum","31","30","14,800","$0.89","0.1","-18%","12,100","12,100","14,800","18,100","27,100","22,200","14,800","14,800","6,600","9,900","12,100","12,100"
"commercial roofing contractors","29","8","4,400","$6.21","0.06","-44%","6,600","9,900","5,400","2,900","4,400","4,400","4,400","5,400","2,900","1,600","1,000","2,400"
"j3 systems","28","2","260","$1.11","0.07","1%","210","260","260","260","260","260","260","390","260","210","170","260"
"tecta america new england llc","27","1","90","$4.29","0.08","41%","90","110","50","110","90","70","90","90","170","90","90","140"
"roof services a tecta america company","27","1","110","$3.59","0.14","13%","70","170","110","70","110","170","110","140","140","140","110","140"
"commercial roofing phoenix az","26","1","170","$10.78","0.13","-9%","590","720","320","50","90","30","50","90","50","50","30","170"
"united cooperative services","25","88","14,800","$0.41","0","19%","14,800","18,100","14,800","14,800","14,800","14,800","12,100","14,800","14,800","14,800","14,800","18,100"
"framing square","25","76","18,100","$0.20","0.87","-8%","14,800","18,100","18,100","14,800","22,200","22,200","27,100","22,200","18,100","18,100","22,200","18,100"
"commercial roofing companies denver","24","4","480","$7.81","0.11","-36%","210","260","1,900","260","390","260","210","720","590","480","390","320"
"western roofing","24","6","50","$6.49","0.43","-14%","40","70","70","70","50","70","50","70","50","50","50","50"
"best roofers near me","23","72","12,100","$5.92","0.58","-26%","27,100","18,100","12,100","14,800","14,800","12,100","14,800","12,100","6,600","6,600","9,900","9,900"
